
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      0.1
-0.69490 0.36421 0.10000 
-0.66457 0.37171 0.10000 
-0.63636 0.37769 0.10000 
-0.62451 0.37922 0.10000 
-0.57576 0.38463 0.10000 
-0.51515 0.38503 0.10000 
-0.45553 0.37922 0.10000 
-0.45455 0.37914 0.10000 
-0.41951 0.37171 0.10000 
-0.39394 0.36702 0.10000 
-0.38582 0.36421 0.10000 
-0.36248 0.35670 0.10000 
-0.33648 0.34919 0.10000 
-0.33333 0.34835 0.10000 
-0.31900 0.34168 0.10000 
-0.30185 0.33417 0.10000 
-0.28340 0.32666 0.10000 
-0.27273 0.32263 0.10000 
-0.26709 0.31915 0.10000 
-0.25448 0.31164 0.10000 
-0.24135 0.30413 0.10000 
-0.22756 0.29662 0.10000 
-0.21291 0.28911 0.10000 
-0.21212 0.28873 0.10000 
-0.20281 0.28160 0.10000 
-0.19288 0.27409 0.10000 
-0.18276 0.26658 0.10000 
-0.17237 0.25907 0.10000 
-0.16158 0.25156 0.10000 
-0.15152 0.24490 0.10000 
-0.15064 0.24406 0.10000 
-0.14269 0.23655 0.10000 
-0.13487 0.22904 0.10000 
-0.12713 0.22153 0.10000 
-0.11942 0.21402 0.10000 
-0.11166 0.20651 0.10000 
-0.10377 0.19900 0.10000 
-0.09561 0.19149 0.10000 
-0.09091 0.18743 0.10000 
-0.08773 0.18398 0.10000 
-0.08093 0.17647 0.10000 
-0.07456 0.16896 0.10000 
-0.06858 0.16145 0.10000 
-0.06297 0.15394 0.10000 
-0.05765 0.14643 0.10000 
-0.05257 0.13892 0.10000 
-0.04764 0.13141 0.10000 
-0.04273 0.12390 0.10000 
-0.03765 0.11640 0.10000 
-0.03211 0.10889 0.10000 
-0.03030 0.10691 0.10000 
0.03030 0.10691 0.10000 
0.03211 0.10889 0.10000 
0.03765 0.11640 0.10000 
0.04273 0.12390 0.10000 
0.04764 0.13141 0.10000 
0.05257 0.13892 0.10000 
0.05765 0.14643 0.10000 
0.06297 0.15394 0.10000 
0.06858 0.16145 0.10000 
0.07456 0.16896 0.10000 
0.08093 0.17647 0.10000 
0.08773 0.18398 0.10000 
0.09091 0.18743 0.10000 
0.09561 0.19149 0.10000 
0.10377 0.19900 0.10000 
0.11166 0.20651 0.10000 
0.11942 0.21402 0.10000 
0.12713 0.22153 0.10000 
0.13487 0.22904 0.10000 
0.14269 0.23655 0.10000 
0.15064 0.24406 0.10000 
0.15152 0.24490 0.10000 
0.16158 0.25156 0.10000 
0.17237 0.25907 0.10000 
0.18276 0.26658 0.10000 
0.19288 0.27409 0.10000 
0.20281 0.28160 0.10000 
0.21212 0.28873 0.10000 
0.21291 0.28911 0.10000 
0.22756 0.29662 0.10000 
0.24135 0.30413 0.10000 
0.25448 0.31164 0.10000 
0.26709 0.31915 0.10000 
0.27273 0.32263 0.10000 
0.28340 0.32666 0.10000 

-0.57576 -0.38463 0.10000 
-0.62451 -0.37922 0.10000 
-0.63636 -0.37769 0.10000 
-0.66457 -0.37171 0.10000 
-0.69490 -0.36421 0.10000 
-0.69697 -0.36364 0.10000 
-0.71821 -0.35670 0.10000 
-0.73870 -0.34919 0.10000 
-0.75696 -0.34168 0.10000 
-0.75758 -0.34141 0.10000 
-0.77320 -0.33417 0.10000 
-0.78804 -0.32666 0.10000 
-0.80163 -0.31915 0.10000 
-0.81411 -0.31164 0.10000 
-0.81818 -0.30904 0.10000 
-0.82593 -0.30413 0.10000 
-0.83708 -0.29662 0.10000 
-0.84747 -0.28911 0.10000 
-0.85715 -0.28160 0.10000 
-0.86618 -0.27409 0.10000 
-0.87460 -0.26658 0.10000 
-0.87879 -0.26263 0.10000 
-0.88277 -0.25907 0.10000 
-0.89077 -0.25156 0.10000 
-0.89829 -0.24406 0.10000 
-0.90537 -0.23655 0.10000 
-0.91202 -0.22904 0.10000 
-0.91828 -0.22153 0.10000 
-0.92416 -0.21402 0.10000 
-0.92969 -0.20651 0.10000 
-0.93488 -0.19900 0.10000 
-0.93939 -0.19207 0.10000 
-0.93980 -0.19149 0.10000 
-0.94490 -0.18398 0.10000 
-0.94970 -0.17647 0.10000 
-0.95421 -0.16896 0.10000 
-0.95845 -0.16145 0.10000 
-0.96243 -0.15394 0.10000 
-0.96616 -0.14643 0.10000 
-0.96965 -0.13892 0.10000 
-0.97291 -0.13141 0.10000 
-0.97594 -0.12390 0.10000 
-0.97876 -0.11640 0.10000 
-0.98137 -0.10889 0.10000 
-0.98378 -0.10138 0.10000 
-0.98599 -0.09387 0.10000 
-0.98802 -0.08636 0.10000 
-0.98985 -0.07885 0.10000 
-0.99151 -0.07134 0.10000 
-0.99299 -0.06383 0.10000 
-0.99430 -0.05632 0.10000 
-0.99543 -0.04881 0.10000 
